 kvkey |             kvts              |                 kvname                 |             kvvalue              |   kvseq   | kvpvmi |        kvpvname        | kvro |  kvmotion  |           kvmd2cmd           | kvstn | kvdbrtype |  kvnotify   
  7283 | 2011-07-13 08:28:02.939737-05 | stns.2.beam.reason                     | Station Not Enabled by APS       |   7654088 |        |                        | t    |            |                              |     2 |         0 | 
  7279 | 2011-07-13 08:28:02.939737-05 | stns.2.beam.state                      | 0                                |   7654088 |        |                        | t    |            |                              |     2 |         3 | 
  7555 | 2011-07-19 09:38:48.508256-05 | stns.2.cam.maxXScale                   | 2.783                            |   9067270 |        |                        | t    |            |                              |     2 |         6 | 
  7551 | 2011-07-19 09:38:48.508256-05 | stns.2.cam.maxYScale                   | 2.785                            |   9067270 |        |                        | t    |            |                              |     2 |         6 | 
  6476 | 2011-07-18 09:11:24.520242-05 | stns.2.cam.name                        | cam                              |   4195155 |        |                        | t    |            |                              |     2 |         0 | 
  7553 | 2011-07-19 09:38:48.508256-05 | stns.2.cam.videoHeight                 | 576                              |   9067270 |        |                        | t    |            |                              |     2 |         1 | 
  7549 | 2011-07-21 13:05:27.508668-05 | stns.2.cam.videoWidth                  | 768                              |   9578940 |        |                        | t    |            |                              |     2 |         1 | 
  7550 | 2011-07-19 09:38:48.508256-05 | stns.2.cam.xFocus                      | 0.4921875                        |   9067270 |        |                        | t    |            |                              |     2 |         6 | 
  7554 | 2012-11-27 16:01:16.122077-06 | stns.2.cam.xScale                      | 1.752                            | 101263845 |        |                        | t    |            |                              |     2 |         6 | 
  7552 | 2011-07-19 09:38:48.508256-05 | stns.2.cam.yFocus                      | 0.5                              |   9067270 |        |                        | t    |            |                              |     2 |         6 | 
  7548 | 2012-11-27 16:01:16.122077-06 | stns.2.cam.yScale                      | 1.755                            | 101263846 |        |                        | t    |            |                              |     2 |         6 | 
  6472 | 2012-11-27 16:01:16.298304-06 | stns.2.cam.zoom                        | 3.007                            | 101263847 |        |                        | t    |            | moveAbs cam.zoom             |     2 |         6 | 
  8292 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.10.FrontLightIntensity | 16                               |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8291 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.10.LightIntensity      | 42                               |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8288 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.10.MotorPosition       | 0                                |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8289 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.10.ScaleX              | 0.27                             |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8290 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.10.ScaleY              | 0.269                            |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8247 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.1.FrontLightIntensity  | 4                                |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8246 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.1.LightIntensity       | 8.0                              |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8243 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.1.MotorPosition        | 34100                            |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8244 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.1.ScaleX               | 2.7083                           |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8245 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.1.ScaleY               | 3.3442                           |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8252 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.2.FrontLightIntensity  | 6                                |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8251 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.2.LightIntensity       | 8.1                              |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8248 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.2.MotorPosition        | 31440                            |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8249 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.2.ScaleX               | 2.2487                           |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8250 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.2.ScaleY               | 2.2776                           |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8257 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.3.FrontLightIntensity  | 6.5                              |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8256 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.3.LightIntensity       | 8.2                              |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8253 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.3.MotorPosition        | 27460                            |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8254 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.3.ScaleX               | 1.752                            |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8255 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.3.ScaleY               | 1.755                            |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8262 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.4.FrontLightIntensity  | 7                                |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8261 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.4.LightIntensity       | 8.3                              |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8258 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.4.MotorPosition        | 23480                            |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8259 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.4.ScaleX               | 1.336                            |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8260 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.4.ScaleY               | 1.34                             |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8267 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.5.FrontLightIntensity  | 8                                |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8266 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.5.LightIntensity       | 10                               |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8263 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.5.MotorPosition        | 19500                            |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8264 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.5.ScaleX               | 1.014                            |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8265 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.5.ScaleY               | 1.011                            |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8272 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.6.FrontLightIntensity  | 9                                |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8271 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.6.LightIntensity       | 12                               |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8268 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.6.MotorPosition        | 15520                            |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8269 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.6.ScaleX               | 0.771                            |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8270 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.6.ScaleY               | 0.776                            |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8277 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.7.FrontLightIntensity  | 10                               |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8276 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.7.LightIntensity       | 17                               |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8273 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.7.MotorPosition        | 11540                            |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8274 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.7.ScaleX               | 0.588                            |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8275 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.7.ScaleY               | 0.592                            |         1 |        |                        | t    |            |                              |     2 |         6 | 
  8282 | 2012-07-18 09:00:26.854555-05 | stns.2.cam.zoom.8.FrontLightIntensity  | 12                               |         1 |        |                        | t    |            |                              |     2 |         6 | 
